|你好，李焕英|	|主演：贾玲,张小斐,沈腾|	|上映时间：2021-02-12|

|送你一朵小红花|	|主演：易烊千玺,刘浩存,朱媛媛|	|上映时间：2020-12-31|

|崖上的波妞|	|主演：奈良柚莉爱,土井洋辉,山口智子|	|上映时间：2020-12-31|

|人潮汹涌|	|主演：刘德华,肖央,万茜|	|上映时间：2021-02-12|

|许愿神龙|	|主演：成龙,牛骏峰,薇薇安|	|上映时间：2021-01-15|

|熊出没·狂野大陆|	|主演：张秉君,谭笑,张伟|	|上映时间：2021-02-12|

|唐人街探案3|	|主演：王宝强,刘昊然,妻夫木聪|	|上映时间：2021-02-12|

|海底小纵队：火焰之环|	|主演：郭盛,苏俣,方宇|	|上映时间：2021-01-08|

|新神榜：哪吒重生|	|主演：杨天翔,张赫,宣晓鸣|	|上映时间：2021-02-12|

|赛尔号大电影7：疯狂机器城|	|主演：罗玉婷,翟巍,王晓彤|	|上映时间：2019-08-02|

